,,LIDC
,,YJL076W
,,YJL081C
,,YJL085W
,,YJL086C
,,YJL087C
,,YJL090C
,,YJL091C
,,YJL097W
,,YJL104W
,,YJL109C
,,YJL111W
,,YJL123C
,,YJL125C
,,YJL143W
,,YJL156C
,,YJL157C
,,YJL164C
,,YJL167W
,,YJL173C
,,YJL174W
,,YJL184W
,,YJL194W
,,YJL195C
,,YJL198W
,,YJL202C
,,YJL203W
,,YJR002W
,,YJR003C
,,YJR006W
,,YJR007W
,,YJR012C
,,YJR013W
,,YJR016C
,,YJR017C
,,YJR022W
,,YJR023C
,,YJR041C
,,YJR042W
,,YJR045C
,,YJR046W
,,YJR049C
,,YJR057W
,,YJR064W
,,YJR065C
,,YJR067C
,,YJR068W
,,YJR072C
,,YJR076C
,,YJR089W
,,YJR093C
,,YJR095W
,,YJR112W
,,YJR123W
,,YJR135C
,,YJR136C
,,YJR141W
,,YKL004W
,,YKL006C-A
,,YKL012W
,,YKL013C
,,YKL014C
,,YKL018W
,,YKL019W
,,YKL021C
,,YKL022C
,,YKL024C
,,YKL028W
,,YKL033W
,,YKL035W
,,YKL036C
,,YKL037W
,,YKL042W
,,YKL045W
,,YKL049C
,,YKL052C
,,YKL058W
,,YKL059C
,,YKL060C
,,YKL078W
,,YKL082C
,,YKL083W
,,YKL088W
,,YKL089W
,,YKL095W
,,YKL099C
,,YKL101W
,,YKL104C
,,YKL108W
,,YKL111C
,,YKL112W
,,YKL122C
,,YKL125W
,,YKL138C-A
,,YKL139W
,,YKL141W
,,YKL144C
,,YKL145W
,,YKL152C
,,YKL153W
,,YKL154W
,,YKL165C
,,YKL166C
,,YKL172W
,,YKL173W
,,YKL180W
,,YKL182W
,,YKL186C
,,YKL189W
,,YKL192C
,,YKL193C
,,YKL195W
,,YKL196C
,,YKL203C
,,YKL205W
,,YKL210W
,,YKR002W
,,YKR004C
,,YKR008W
,,YKR022C
,,YKR025W
,,YKR037C
,,YKR038C
,,YKR062W
,,YKR063C
,,YKR068C
,,YKR071C
,,YKR075C
,,YKR079C
,,YKR081C
,,YKR083C
,,YKR086W
,,YLL003W
,,YLL004W
,,YLL008W
,,YLL011W
,,YLL018C
,,YLL031C
,,YLL034C
,,YLL035W
,,YLL036C
,,YLL037W
,,YLL050C
,,YLR002C
,,YLR005W
,,YLR007W
,,YLR008C
,,YLR009W
,,YLR010C
,,YLR013W
,,YLR022C
,,YLR026C
,,YLR027C
,,YLR029C
,,YLR033W
,,YLR045C
,,YLR051C
,,YLR059C
,,YLR060W
,,YLR066W
,,YLR071C
,,YLR075W
,,YLR076C
,,YLR078C
,,YLR086W
,,YLR088W
,,YLR097C
,,YLR099W-A
,,YLR100W
,,YLR101C
,,YLR103C
,,YLR105C
,,YLR106C
,,YLR115W
,,YLR116W
,,YLR117C
,,YLR127C
,,YLR129W
,,YLR132C
,,YLR140W
,,YLR141W
,,YLR145W
,,YLR147C
,,YLR153C
,,YLR163C
,,YLR166C
,,YLR167W
,,YLR175W
,,YLR182W
,,YLR186W
,,YLR195C
,,YLR196W
,,YLR197W
,,YLR198C
,,YLR208W
,,YLR212C
,,YLR215C
,,YLR220W
,,YLR222C
,,YLR223C
,,YLR229C
,,YLR230W
,,YLR240W
,,YLR243W
,,YLR249W
,,YLR259C
,,YLR272C
,,YLR274W
,,YLR275W
,,YLR276C
,,YLR277C
,,YLR291C
,,YLR293C
,,YLR298C
,,YLR305C
,,YLR310C
,,YLR311C
,,YLR314C
,,YLR316C
,,YLR317W
,,YLR321C
,,YLR323C
,,YLR336C
,,YLR339C
,,YLR340W
,,YLR347C
,,YLR355C
,,YLR359W
,,YLR371W
,,YLR375W
,,YLR378C
,,YLR379W
,,YLR383W
,,YLR397C
,,YLR403W
,,YLR409C
,,YLR424W
,,YLR430W
,,YLR438C-A
,,YLR440C
,,YLR454W
,,YLR457C
,,YLR458W
,,YLR459W
,,YML010W
,,YML015C
,,YML023C
,,YML025C
,,YML031W
,,YML043C
,,YML046W
,,YML049C
,,YML064C
,,YML065W
,,YML068W
,,YML069W
,,YML077W
,,YML085C
,,YML091C
,,YML092C
,,YML093W
,,YML098W
,,YML105C
,,YML114C
,,YML125C
,,YML126C
,,YML127W
,,YML128C
,,YML130C
,,YMR001C
,,YMR005W
,,YMR013C
,,YMR028W
,,YMR032W
,,YMR033W
,,YMR043W
,,YMR047C
,,YMR049C
,,YMR059W
,,YMR061W
,,YMR070W
,,YMR071C
,,YMR076C
,,YMR079W
,,YMR093W
,,YMR094W
,,YMR108W
,,YMR112C
,,YMR113W
,,YMR117C
,,YMR128W
,,YMR131C
,,YMR134W
,,YMR146C
,,YMR149W
,,YMR164C
,,YMR168C
,,YMR179W
,,YMR185W
,,YMR197C
,,YMR198W
,,YMR200W
,,YMR203W
,,YMR208W
,,YMR211W
,,YMR212C
,,YMR213W
,,YMR218C
,,YMR220W
,,YMR227C
,,YMR229C
,,YMR235C
,,YMR236W
,,YMR239C
,,YMR240C
,,YMR260C
,,YMR268C
,,YMR270C
,,YMR276W
,,YMR277W
,,YMR281W
,,YMR288W
,,YMR290C
,,YMR290W-A
,,YMR296C
,,YMR298W
,,YMR301C
,,YMR308C
,,YMR309C
,,YMR314W
,,YNL002C
,,YNL006W
,,YNL007C
,,YNL020C
,,YNL024C-A
,,YNL026W
,,YNL028W
,,YNL036W
,,YNL038W
,,YNL039W
,,YNL044W
,,YNL048W
,,YNL059C
,,YNL061W
,,YNL062C
,,YNL075W
,,YNL088W
,,YNL102W
,,YNL103W
,,YNL110C
,,YNL112W
,,YNL113W
,,YNL114C
,,YNL118C
,,YNL124W
,,YNL126W
,,YNL131W
,,YNL132W
,,YNL137C
,,YNL138W
,,YNL138W-A
,,YNL147W
,,YNL149C
,,YNL150W
,,YNL151C
,,YNL152W
,,YNL158W
,,YNL161W
,,YNL162W
,,YNL163C
,,YNL172W
,,YNL178W
,,YNL181W
,,YNL182C
,,YNL188W
,,YNL189W
,,YNL197C
,,YNL207W
,,YNL216W
,,YNL221C
,,YNL222W
,,YNL225C
,,YNL232W
,,YNL240C
,,YNL241C
,,YNL243W
,,YNL244C
,,YNL245C
,,YNL246W
,,YNL247W
,,YNL251C
,,YNL256W
,,YNL258C
,,YNL260C
,,YNL261W
,,YNL262W
,,YNL263C
,,YNL267W
,,YNL272C
,,YNL282W
,,YNL287W
,,YNL290W
,,YNL306W
,,YNL308C
,,YNL310C
,,YNL312W
,,YNL313C
,,YNL317W
,,YNR003C
,,YNR011C
,,YNR016C
,,YNR017W
,,YNR026C
,,YNR035C
,,YNR038W
,,YNR043W
,,YNR046W
,,YNR052C
,,YNR053C
,,YNR054C
,,YOL005C
,,YOL010W
,,YOL021C
,,YOL022C
,,YOL026C
,,YOL034W
,,YOL038W
,,YOL040C
,,YOL066C
,,YOL069W
,,YOL077C
,,YOL078W
,,YOL094C
,,YOL097C
,,YOL100W
,,YOL102C
,,YOL120C
,,YOL123W
,,YOL127W
,,YOL130W
,,YOL133W
,,YOL134C
,,YOL135C
,,YOL139C
,,YOL142W
,,YOL144W
,,YOL146W
,,YOL149W
,,YOR004W
,,YOR020C
,,YOR036W
,,YOR046C
,,YOR048C
,,YOR056C
,,YOR057W
,,YOR060C
,,YOR063W
,,YOR074C
,,YOR075W
,,YOR076C
,,YOR077W
,,YOR095C
,,YOR098C
,,YOR102W
,,YOR103C
,,YOR106W
,,YOR110W
,,YOR116C
,,YOR117W
,,YOR119C
,,YOR122C
,,YOR143C
,,YOR145C
,,YOR146W
,,YOR148C
,,YOR149C
,,YOR151C
,,YOR157C
,,YOR159C
,,YOR160W
,,YOR166C
,,YOR168W
,,YOR169C
,,YOR174W
,,YOR176W
,,YOR181W
,,YOR194C
,,YOR203W
,,YOR204W
,,YOR206W
,,YOR207C
,,YOR210W
,,YOR217W
,,YOR218C
,,YOR224C
,,YOR229W
,,YOR232W
,,YOR233W
,,YOR236W
,,YOR244W
,,YOR249C
,,YOR250C
,,YOR254C
,,YOR256C
,,YOR257W
,,YOR259C
,,YOR260W
,,YOR261C
,,YOR262W
,,YOR271C
,,YOR272W
,,YOR278W
,,YOR281C
,,YOR282W
,,YOR287C
,,YOR293W
,,YOR294W
,,YOR295W
,,YOR297C
,,YOR310C
,,YOR319W
,,YOR326W
,,YOR329C
,,YOR335C
,,YOR336W
,,YOR340C
,,YOR341W
,,YOR353C
,,YOR361C
,,YOR362C
,,YOR370C
,,YOR372C
,,YOR373W
,,YPL007C
,,YPL010W
,,YPL011C
,,YPL012W
,,YPL016W
,,YPL020C
,,YPL028W
,,YPL043W
,,YPL044C
,,YPL045W
,,YPL063W
,,YPL075W
,,YPL076W
,,YPL082C
,,YPL083C
,,YPL085W
,,YPL093W
,,YPL094C
,,YPL115C
,,YPL117C
,,YPL122C
,,YPL124W
,,YPL125W
,,YPL126W
,,YPL128C
,,YPL131W
,,YPL137C
,,YPL142C
,,YPL143W
,,YPL146C
,,YPL151C
,,YPL153C
,,YPL160W
,,YPL169C
,,YPL175W
,,YPL190C
,,YPL203W
,,YPL204W
,,YPL207W
,,YPL209C
,,YPL210C
,,YPL211W
,,YPL213W
,,YPL217C
,,YPL218W
,,YPL228W
,,YPL231W
,,YPL233W
,,YPL235W
,,YPL237W
,,YPL238C
,,YPL242C
,,YPL243W
,,YPL251W
,,YPL252C
,,YPL255W
,,YPL266W
,,YPL268W
,,YPR010C
,,YPR015C
,,YPR016C
,,YPR019W
,,YPR025C
,,YPR033C
,,YPR034W
,,YPR035W
,,YPR040W
,,YPR041W
,,YPR048W
,,YPR055W
,,YPR056W
,,YPR082C
,,YPR085C
,,YPR086W
,,YPR088C
,,YPR094W
,,YPR101W
,,YPR103W
,,YPR104C
,,YPR105C
,,YPR107C
,,YPR108W
,,YPR110C
,,YPR111W
,,YPR112C
,,YPR113W
,,YPR120C
,,YPR124W
,,YPR125W
,,YPR133C
,,YPR136C
,,YPR137W
,,YPR142C
,,YPR143W
,,YPR144C
,,YPR161C
,,YPR162C
,,YPR165W
,,YPR168W
,,YPR169W
,,YPR175W
,,YPR176C
,,YPR177C
,,YPR178W
,,YPR180W
,,YPR181C
,,YPR182W
,,YPR183W
,,YPR186C
,,YPR187W
,,YPR190C
